epoch,train_loss,validation_loss
1,0.6923020230970773,0.6440941735785058
2,0.6681064318375018,0.6365934327139077
3,0.6594138283587435,0.6307080428228311
4,0.6545950843823338,0.6263234619553207
5,0.6515730516289052,0.6233544799875705
6,0.6496802358175512,0.6214492952992731
7,0.6483256078964875,0.6198935352318676
8,0.6469408236841714,0.6189633295045677
9,0.6457329533225277,0.6182476751347805
10,0.6448870774530855,0.6177863685797292
11,0.6439539274711201,0.6173769510384147
12,0.6431721094134015,0.6171912774972036
13,0.6423252508892707,0.616988424502366
14,0.6416192071452684,0.6168881561739225
15,0.640940928931126,0.616811455564296
16,0.6402487062792761,0.6167749158034088
17,0.6397037570268658,0.6167261477903272
18,0.6391104414687886,0.6166165828282106
19,0.6387918848159899,0.6166600770984135
20,0.638192980712631,0.6166330153215016
21,0.6380764156898145,0.616564911308018
22,0.6373074239259089,0.6165101477440368
23,0.6368612624519236,0.616442119821589
24,0.6364280826998775,0.6163915459145891
25,0.6361097802417982,0.6163770068199077
26,0.6355915735359718,0.6163675250313806
27,0.6353253425758504,0.6163884576753522
28,0.6349329809754345,0.616369977699104
29,0.6346352051585594,0.6163670498851344
30,0.6344764953035053,0.6164714687682212
31,0.6341543831859195,0.6164549250974722
32,0.633864822973136,0.6165202010607889
33,0.6336260625688207,0.6166015506213438
34,0.6335036825932218,0.6165615983888613
