epoch,train_loss,validation_loss
1,0.5543646035315115,0.3901060190465715
2,0.32842112153391295,0.2706765902263147
3,0.2509057916040662,0.22557767370232829
4,0.21879692366228828,0.2063455617538205
5,0.20369704345924944,0.19718869540978362
6,0.19574882061798363,0.19232576492208023
7,0.19109667582979686,0.18942941890822518
8,0.18805961254276807,0.1874987611340152
9,0.185866979669921,0.1860615780784024
10,0.18415398692971544,0.18489376372761196
11,0.18273403071149996,0.18387360650080223
12,0.18151078076113628,0.1829479454016244
13,0.18044386926708342,0.18211722746491432
14,0.17950954783377768,0.18136001392095177
15,0.17868110490373418,0.18066835334455525
16,0.17795625465768802,0.18004167259291368
17,0.1773103125676324,0.17947360611072294
18,0.1767251746186727,0.17898430620078687
19,0.17620058136084413,0.17855324334016554
20,0.17573061297777332,0.17816410006748307
21,0.1753048378549799,0.17781414546900326
22,0.17491416336049007,0.1775059784176173
23,0.17455802961618086,0.1772390265983564
24,0.17425518506501295,0.17701903703036131
25,0.1739966483150102,0.17684901243558637
26,0.17376277383558358,0.17670865232745805
27,0.17355260479299328,0.1765878687578219
28,0.17336052906098245,0.1764786715308825
29,0.17318567157357553,0.17638460505339834
30,0.1730289068308812,0.17629991209617368
31,0.172882695552669,0.17622395287509318
32,0.17274802564820158,0.17615272973974547
33,0.17262274158906332,0.1760826597887057
34,0.1725092181299306,0.17602727989907618
35,0.17240281157855747,0.17598045300002452
36,0.17230060243908363,0.17593407023836066
37,0.1722066940480395,0.17590155769829396
38,0.1721168074615394,0.17588086991950316
39,0.17203239738186704,0.1758486901720365
40,0.17195983103747609,0.17583574423635448
41,0.17189495057999332,0.17582626902946719
42,0.17183883865422842,0.17583679463024493
43,0.17178595693239682,0.17583752630485427
44,0.171745128269437,0.17586517430565976
45,0.17170396994186354,0.1758793629705906
46,0.17166583155152165,0.1758827473278399
