epoch,train_loss,validation_loss
1,0.6865445848196426,0.6768966805956043
2,0.6651497769875458,0.6586054649124754
3,0.6573310861118747,0.6526811295155938
4,0.6524189011694274,0.6483328620381389
5,0.6494972770271352,0.6442038597578698
6,0.6473536030571656,0.6417823471921555
7,0.6458668800276369,0.6403019784401495
8,0.6445429715132374,0.6397588703226536
9,0.643611566664061,0.6403022977054542
10,0.6426740945764283,0.6387632366613294
11,0.6419821864398348,0.6388266004146413
12,0.64127617692608,0.6374204329987789
13,0.6408215837016225,0.6381696830404565
14,0.640210279631445,0.6393056349128696
15,0.639788836930146,0.637615719796918
16,0.6392252546506421,0.6382176656249567
17,0.6387185665424184,0.6395232324481855
